,City,Cloudiness,Country,Data,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tuktoyaktuk,75,CA,1567277637,86,69.44,-133.03,37.4,3.36
1,Arraial do Cabo,0,BR,1567277638,65,-22.97,-42.02,84.2,19.46
2,Bethel,90,US,1567277638,100,60.79,-161.76,55.4,9.17
3,Jamestown,69,AU,1567277639,89,-33.21,138.6,48.62,2.33
4,Bahia Honda,4,CU,1567277639,71,22.9,-83.16,84.26,8.95
5,Cartersville,75,US,1567277451,48,34.17,-84.8,91.0,4.52
6,Busselton,73,AU,1567277639,58,-33.64,115.35,57.99,29.93
7,Port Alfred,0,ZA,1567277640,64,-33.59,26.89,60.01,8.99
8,Aasiaat,0,GL,1567277641,57,68.71,-52.87,43.22,13.49
9,Port Lincoln,34,AU,1567277642,85,-34.72,135.86,57.8,21.7
10,Mocajuba,98,BR,1567277642,36,-2.58,-49.5,96.5,3.78
11,Kapaa,75,US,1567277643,70,22.08,-159.32,84.2,12.75
12,Cockburn Town,40,TC,1567277430,74,21.46,-71.14,86.0,8.05
13,Potenza,73,IT,1567277643,92,40.64,15.8,66.62,9.04
14,Vaini,75,IN,1567277644,94,15.34,74.49,69.8,9.17
15,Diveyevo,0,RU,1567277645,76,55.04,43.25,51.32,2.19
16,Melchor de Mencos,40,GT,1567277645,66,17.06,-89.15,95.0,4.7
17,Bhadrachalam,100,IN,1567277646,91,17.67,80.89,76.34,6.78
18,Saint-Augustin,40,CA,1567277646,49,45.63,-73.98,72.0,13.87
19,Torbay,40,CA,1567277646,73,47.66,-52.73,77.0,19.46
20,Kodiak,1,US,1567277647,69,39.95,-94.76,77.0,5.82
21,Provideniya,100,RU,1567277647,89,64.42,-173.23,45.56,11.54
22,Omboue,12,GA,1567277647,87,-1.57,9.26,75.08,15.05
23,Kelvington,74,CA,1567277647,59,52.16,-103.52,62.66,4.12
24,Punta Arenas,40,CL,1567277648,68,-53.16,-70.91,42.8,35.57
25,Bredasdorp,12,ZA,1567277648,50,-34.53,20.04,59.0,12.75
26,Buala,100,SB,1567277649,92,-8.15,159.59,76.7,2.39
27,East London,0,ZA,1567277649,54,-33.02,27.91,57.2,9.17
28,Qaanaaq,100,GL,1567277649,42,77.48,-69.36,44.84,10.49
29,Mataura,44,NZ,1567277649,93,-46.19,168.86,39.0,1.01
30,Hermanus,65,ZA,1567277650,67,-34.42,19.24,59.0,11.01
31,Iqaluit,90,CA,1567277650,76,63.75,-68.52,53.6,9.17
32,Kavieng,45,PG,1567277650,80,-2.57,150.8,81.56,12.41
33,San Policarpo,92,PH,1567277651,91,12.18,125.51,76.52,5.79
34,Ushuaia,90,AR,1567277651,64,-54.81,-68.31,39.2,34.45
35,San Ignacio,23,PE,1567277651,45,-5.15,-79.0,80.3,2.04
36,Usinsk,76,RU,1567277652,94,66.0,57.56,41.24,11.7
37,Eyl,46,SO,1567277652,76,7.98,49.82,76.34,27.31
38,Rawson,31,AR,1567277652,45,-43.3,-65.11,48.98,26.98
39,Tual,95,ID,1567277652,80,-5.67,132.75,76.7,18.3
40,Sardarshahr,89,IN,1567277653,40,28.43,74.48,98.66,7.07
41,Talnakh,0,RU,1567277653,87,69.49,88.39,51.8,11.18
42,Cap-aux-Meules,20,CA,1567277654,64,47.38,-61.86,68.0,18.34
43,Champasak,100,LA,1567277655,94,14.89,105.88,74.54,3.36
44,Lebu,75,ET,1567277655,82,8.96,38.73,59.0,4.7
45,Atambua,100,ID,1567277655,69,-9.11,124.89,74.72,15.12
46,Barrow,13,AR,1567277656,36,-38.31,-60.23,58.34,11.68
47,Bandarbeyla,29,SO,1567277656,78,9.49,50.81,76.34,27.38
48,Butaritari,94,KI,1567277656,75,3.07,172.79,83.9,14.07
49,Upernavik,0,GL,1567277657,59,72.79,-56.15,44.48,4.23
50,Ust-Ishim,100,RU,1567277657,95,57.69,71.17,45.2,11.48
51,Alofi,59,NU,1567277657,82,-19.06,-169.92,64.4,2.24
52,Sisimiut,0,GL,1567277658,58,66.94,-53.67,46.46,11.43
53,Zhigansk,24,RU,1567277658,81,66.77,123.37,45.56,2.1
54,Atar,81,MR,1567277658,36,20.52,-13.05,97.76,6.93
55,Avarua,11,CK,1567277541,60,-21.21,-159.78,68.0,3.36
56,Asekeyevo,92,RU,1567277659,66,53.57,52.8,50.06,3.22
57,Nola,100,CF,1567277659,98,3.52,16.05,71.48,2.28
58,Yellowknife,75,CA,1567277659,61,62.45,-114.38,48.2,5.82
59,Atuona,98,PF,1567277660,74,-9.8,-139.03,79.58,12.77
60,Luderitz,0,NA,1567277661,59,-26.65,15.16,60.8,24.16
61,La Solana,57,ES,1567277661,26,38.94,-3.24,88.0,2.89
62,Trelew,31,AR,1567277661,45,-43.25,-65.31,48.98,26.98
63,Harper,75,US,1567277662,43,30.3,-99.24,93.0,3.36
64,Rio Gallegos,75,AR,1567277662,39,-51.62,-69.22,46.4,31.09
65,Zunyi,100,CN,1567277662,94,27.73,106.92,64.64,1.66
66,New Norfolk,40,AU,1567277663,71,-42.78,147.06,53.01,8.05
67,Nikolskoye,85,RU,1567277663,72,59.7,30.79,63.0,4.47
68,Thompson,75,CA,1567277637,63,55.74,-97.86,60.8,5.82
69,Bambous Virieux,75,MU,1567277664,68,-20.34,57.76,73.0,16.11
70,Rikitea,94,PF,1567277664,82,-23.12,-134.97,72.92,21.68
71,Vila Franca do Campo,20,PT,1567277664,69,37.72,-25.43,77.0,9.17
72,Dikson,82,RU,1567277665,88,73.51,80.55,40.52,10.18
73,San Juan,0,AR,1567277470,27,-31.54,-68.53,50.96,9.28
74,Codrington,40,AU,1567277665,93,-28.95,153.24,51.8,3.51
75,Ahipara,100,NZ,1567277666,100,-35.17,173.16,43.0,9.64
76,Hilo,1,US,1567277667,69,19.71,-155.08,84.99,3.36
77,Pomabamba,51,PE,1567277667,26,-8.82,-77.46,53.3,9.42
78,Tautira,75,PF,1567277668,73,-17.73,-149.15,77.0,16.11
79,Albany,75,US,1567277400,38,42.65,-73.75,77.0,13.87
80,Lorengau,96,PG,1567277668,86,-2.02,147.27,78.14,5.77
81,Whitehorse,90,CA,1567277668,54,60.72,-135.06,53.6,16.11
82,Moose Factory,1,CA,1567277669,45,51.26,-80.61,57.2,10.29
83,Cidreira,100,BR,1567277669,89,-30.17,-50.22,61.4,9.33
84,Cape Town,75,ZA,1567277669,67,-33.93,18.42,59.0,10.29
85,Scarborough,40,GB,1567277670,58,54.28,-0.41,62.01,11.41
86,Arua,99,UG,1567277670,94,3.02,30.91,62.84,2.84
87,Bluff,0,AU,1567277670,64,-23.58,149.07,56.9,6.06
88,Shakawe,26,BW,1567277671,14,-18.36,21.84,72.92,10.31
89,Lima,75,PE,1567277403,77,-12.06,-77.04,64.4,5.82
90,Puerto Narino,75,CO,1567277672,59,-3.77,-70.38,93.2,3.15
91,Gongzhuling,0,CN,1567277672,84,43.5,124.81,58.7,8.32
92,Vardo,1,US,1567277672,51,39.62,-77.74,86.0,6.33
93,Lagoa,0,PT,1567277673,61,37.14,-8.45,82.0,8.05
94,Mar del Plata,75,AR,1567277673,39,-46.43,-67.52,44.66,27.31
95,Sao Jose do Egito,0,BR,1567277673,24,-7.48,-37.27,91.1,6.64
96,Tasiilaq,5,GL,1567277674,61,65.61,-37.64,46.4,5.82
97,Hithadhoo,72,MV,1567277674,76,-0.6,73.08,82.82,13.53
98,Norman Wells,75,CA,1567277674,61,65.28,-126.83,48.2,9.17
99,Faanui,46,PF,1567277674,83,-16.48,-151.75,76.16,17.02
100,Husavik,97,CA,1567277675,76,50.56,-96.99,60.01,7.0
101,Rehti,75,IN,1567277675,88,22.74,77.43,80.6,6.93
102,Otjimbingwe,0,NA,1567277676,13,-22.35,16.13,63.38,16.75
103,Katsuura,75,JP,1567277676,94,33.93,134.5,71.6,5.82
104,Ardakan,0,IR,1567277676,20,32.31,54.02,82.4,4.7
105,Portland,40,US,1567277451,38,43.66,-70.25,78.01,14.99
106,Belaya Gora,58,RU,1567277677,69,68.54,146.19,34.94,4.54
107,Tiksi,0,RU,1567277677,74,71.64,128.87,41.6,6.38
108,Leningradskiy,100,RU,1567277678,97,69.38,178.42,39.26,6.64
109,Lompoc,1,US,1567277473,47,34.64,-120.46,80.6,4.7
110,Namibe,19,AO,1567277678,77,-15.19,12.15,64.82,2.59
111,Gannan,34,CN,1567277678,81,47.92,123.49,58.16,4.88
112,Saint-Philippe,75,CA,1567277679,46,45.36,-73.48,72.0,4.7
113,Sao Felix do Xingu,2,BR,1567277679,18,-6.64,-51.99,103.34,5.06
114,Salinas,1,US,1567277679,47,36.67,-121.66,91.99,4.7
115,Alvorada,90,BR,1567277680,87,-30.0,-51.08,60.8,6.93
116,Puerto Ayora,75,EC,1567277680,61,-0.74,-90.35,80.6,18.34
117,Aklavik,90,CA,1567277680,75,68.22,-135.01,42.8,4.7
118,Cam Ranh,40,VN,1567277681,70,11.92,109.15,86.0,4.7
119,Dajal,7,PK,1567277681,38,29.56,70.38,95.24,12.3
120,Kodinsk,94,RU,1567277681,99,58.6,99.18,58.34,3.78
121,Pevek,100,RU,1567277681,95,69.7,170.27,35.84,10.27
122,Khatanga,8,RU,1567277682,64,71.98,102.47,41.96,6.91
123,Ostrovnoy,81,RU,1567277682,92,68.05,39.51,54.92,13.42
124,Carnarvon,0,ZA,1567277682,30,-30.97,22.13,48.8,11.61
125,Victoria,75,BN,1567277682,88,5.28,115.24,82.4,6.69
126,Sahbuz,75,AZ,1567277683,59,39.41,45.57,64.4,13.87
127,Padang,1,ID,1567277683,85,-0.92,100.36,80.66,16.96
128,Sabang,100,PH,1567277684,96,13.8,121.11,72.2,0.63
129,Slavutych,76,UA,1567277684,87,51.52,30.76,65.36,8.66
130,Cayenne,4,GF,1567277685,66,4.94,-52.33,86.0,11.41
131,Abu Samrah,0,SY,1567277685,49,35.3,37.18,79.22,13.15
132,Terme,40,TR,1567277686,88,41.21,36.97,68.0,2.24
133,Iisalmi,0,FI,1567277687,77,63.56,27.19,62.6,8.05
134,Maragogi,8,BR,1567277687,70,-9.01,-35.22,78.68,9.22
135,Constitucion,90,MX,1567277687,56,23.99,-104.67,73.99,9.55
136,Ponta do Sol,9,BR,1567277687,24,-20.63,-46.0,86.6,5.03
137,Ilulissat,40,GL,1567277688,33,69.22,-51.1,46.4,6.93
138,Kendari,82,ID,1567277688,94,-3.99,122.52,68.78,1.34
